label,start,end
TONIGHT,11.9,12.5
WE'LL,12.5,12.7
RUN,12.8,13
AWAY,13,13.8
SPEEDIN',14.5,15.2
FASTER,15.3,16
THAN,16,16.3
A,16.3,16.5
MIDNIGHT,16.5,17.1
TRAIN,17.1,18
SOMEWHERE,19.6,20
TO,20.1,20.2
SUCH,20.3,20.5
A,20.6,20.7
PLACE,20.7,21.8
WHERE,22.3,22.6
THE,22.6,22.7
STARS,22.7,23.3
COME,23.4,23.6
OUT,23.7,23.9
TO,23.9,24.1
LIGHT,24.1,24.4
YOUR,24.5,24.7
FACE,24.8,25.7
WE'LL,26.3,26.7
LEAVE,26.7,27.2
BEHIND,27.4,28.4
THE,28.4,28.5
WORLD,28.6,29.3
IN,29.4,29.5
DARKNESS,29.5,30.4
GO,30.5,31
WHERE,31.2,31.4
NO,31.5,32.2
ONE'S,32.3,32.4
BROKENHEARTED,32.5,34.3
TAKE,34.8,35.1
OFF,35.2,35.3
WITHOUT,35.3,35.9
A,35.9,35.9
TRACE,36,36.8
NEON,37.5,38.1
ANGLES,38.1,38.8
UP-UP,39,39.5
AND,39.6,40
AWAY,40,40.6
DIAMOND,40.9,41.7
CLOTHES,41.7,42.8
I,43.1,43.3
THINK,43.4,43.5
WE'RE,43.6,43.8
GETTING,43.9,44.6
CLOSER,44.7,46
DON'T,46.4,46.9
STOP,46.9,47.2
ME,47.2,47.3
NOW,47.4,48.1
OFF,48.7,48.9
THE,49,49.2
GROUND,49.3,50
HIGHER,50.5,51
THAN,51,51.3
A,51.4,51.4
SUPERNOVA,51.5,53.5
DON'T,54.1,54.6
LOOK,54.6,54.9
DOWN,55,55.9
DON'T,56,56.6
LOOK,56.6,56.9
DOWN,56.9,57.7
DOWN-DOWN-DOWN-DOWN-DOWN-DOWN,57.8,60
DON'T,60,60.3
LOOK,60.3,60.7
DOWN,60.7,61.5
DOWN-DOWN-DOWN-DOWN-DOWN-DOWN,61.6,64
DON'T,63.9,64.1
LOOK,64.1,64.6
DOWN,64.6,65.3
BEAM,71.5,71.9
ME,72,72.2
UP,72.4,72.5
UP-UP-UP-UP-UP,72.8,74.8
BEAM,75.3,75.8
ME,75.8,76
UP,76.2,76.3
UP-UP-UP-UP-UP-UP,76.6,78.7
BEAM,79.1,79.6
ME,79.6,79.8
UP,80,80.2
UP-UP-UP-UP-UPUP-UPUP,80.4,82.5
BEAM,82.7,82.9
ME,82.9,83
UP,83.2,83.8
UP-UP-UP-UP,83.8,85.8
DIAMOND,86.7,87.6
CLOTHES,87.4,88.4
I,89,89.2
THINK,89.3,89.3
WE'RE,89.4,89.5
GETTING,89.6,90.5
CLOSER,90.6,91.6
DON'T,92,92.6
STOP,92.7,93
ME,93,93.2
NOW,93.3,93.8
OFF,94.4,94.7
THE,94.7,95
GROUND,95.1,95.8
HIGHER,96.2,96.7
THAN,96.7,97
A,97,97.2
SUPERNOVA,97.2,99.3
DON'T,99.9,100.3
LOOK,100.4,100.7
DOWN,100.8,101.4
DON'T,101.4,101.9
LOOK,102,102.5
DOWN,102.7,103.5
AFTER,107.3,107.6
WE,107.7,107.9
KISS,107.9,108.2
THE,108.2,108.3
SUN,108.4,109.3
WE,110,110.2
CAN,110.3,110.5
BURN,110.5,110.8
OUR,111.1,111.2
NAMES,111.3,111.5
INTO,111.6,112.1
THE,112.2,112.3
SKY,112.4,113.7
FEEL,114.8,115.1
MY,115.1,115.4
ELECTRIC,115.4,116
TOUCH,116.1,117
TOUCH,117.7,117.9
MY,117.9,118.1
SUPERSONIC,118.1,119.3
LOVE,119.4,119.6
GO,119.8,120.2
BY,120.2,120.7
DIAMOND,121,121.7
CLOTHES,121.8,123
I,123.2,123.3
THINK,123.3,123.5
WE'RE,123.6,123.8
GETTING,123.9,124.6
CLOSER,124.8,126.1
DON'T,126.4,126.9
STOP,126.9,127.3
ME,127.3,127.4
NOW,127.5,128.1
OFF,128.7,128.9
THE,129,129.3
GROUND,129.3,130.5
HIGHER,130.5,131
THAN,131,131.3
A,131.3,131.5
SUPERNOVA,131.5,133.8
DON'T,134.1,134.5
LOOK,134.6,134.9
DOWN,135,135.7
DON'T,136,136.5
LOOK,136.5,136.8
DOWN,137,137.7
DOWN-DOWN-DOWN-DOWN-DOWN-DOWN,137.7,139.8
DON'T,139.8,140.2
LOOK,140.3,140.6
DOWN,140.6,141.3
DOWN-DOWN-DOWN-DOWN-DOWN-DOWN,141.3,144
DON'T,143.7,144.1
LOOK,144.1,144.4
DOWN,144.5,145
BEAM,151.5,151.9
ME,152,152.2
UP,152.4,152.5
UP-UP-UP-UP-UP,152.7,154.8
BEAM,155.3,155.8
ME,155.8,156.1
UP,156.2,156.3
UP-UP-UP-UP-UP-UP,156.4,158.3
BEAM,159,159.5
ME,159.6,159.9
UP,160,160.2
UP-UP-UP-UP-UPUP-UPUP,160.2,162.9
BEAM,163.1,163.6
ME,163.7,164
UP,164.2,164.3
UP-UP-UP-UP,164.4,165.4
DIAMOND,166.8,167.4
CLOTHES,167.4,168.5
I,169,169.1
THINK,169.2,169.4
WE'RE,169.4,169.7
GETTING,169.7,170.5
CLOSER,170.5,171.6
DON'T,172.2,172.6
STOP,172.6,172.9
ME,173,173.1
NOW,173.2,173.8
OFF,174.5,174.7
THE,174.7,175
GROUND,175.1,175.8
HIGHER,176.2,176.7
THAN,176.8,177
A,177,177.2
SUPERNOVA,177.2,179.2
DON'T,179.8,180.3
LOOK,180.3,180.8
DOWN,180.8,181.4
DON'T,181.4,181.5
LOOK,181.7,182.5
DOWN,182.7,183.3
