label,start,end
HERE,10.8,12.6
COMES,12.9,25.4
THE,42,42.2
CIRCUS,42.3,42.7
NOW,42.8,43.4
TO,43.4,43.6
STEAL,43.6,43.8
YOUR,43.9,44.1
LIFE,44.1,44.4
AWAY,44.5,45.3
CATCH,46.1,46.4
UNWARY,46.4,47
CHILDREN,47.1,47.5
AT,47.6,47.7
THEIR,47.8,48
PLAY,48,48.5
DISTURB,49.7,50.2
WHAT,50.2,50.4
WAS,50.4,50.6
A,50.6,50.7
PEACEFUL,50.7,51.4
ISLAND,51.6,52
OF,52.2,52.3
CALM,52.4,52.9
A,53.6,53.8
STORM,53.8,54.1
IS,54.2,54.3
COMING,54.3,54.8
ON,54.9,55.1
THE,55.2,55.4
HORIZON,55.4,56.1
THE,57.4,57.6
TRAVELER,57.7,58
BEGS,58.1,58.3
OF,58.4,58.6
YOU,58.6,59
FOR,59.1,59.4
HIS,59.4,59.5
WORDS,59.6,59.8
TO,59.8,60
HEED,60,60.8
TO,61.3,61.5
FEAR,61.5,61.8
THE,61.8,62
EVIL,62.2,62.4
THING,62.5,62.7
THAT,62.7,62.9
HE,62.9,63.1
PROCEEDS,63.1,64.2
RECRUITING,65.1,65.7
EVIL,65.8,66.2
IN,66.3,66.5
THE,66.5,66.8
AUTUMN,66.9,67.1
TIMES,67.1,67.4
OF,67.5,67.7
SIN,67.7,68.3
A,69.1,69.2
MAD,69.2,69.4
COLLECTION,69.4,70.1
OF,70.3,70.5
BROKEN,70.6,71
MEN,71.1,71.6
THUNDER,73,73.5
RIPPING,73.5,74
OUT,74.2,74.4
ACROSS,74.4,74.7
THE,74.7,74.8
SKY,74.9,75.8
DRAW,76.8,77.2
THE,77.2,77.4
LIGHTNING,77.4,77.9
OUT,78,78.2
OF,78.3,78.3
MY,78.4,78.6
MIND,78.6,79.2
BY,80.8,81
THE,81.1,81.1
PRICKLING,81.3,82
OF,82.1,82.2
MY,82.3,82.3
THUMBS,82.4,83.9
SOMETHING,84.7,85.1
WICKED,85.2,85.8
THIS,85.9,86.2
WAY,86.3,86.7
COMES,86.8,87.7
THE,95.9,96
HOUSE,96.1,96.3
OF,96.4,96.5
MIRRORS,96.5,96.9
IS,97,97.1
YOUR,97.2,97.5
PLACE,97.5,97.8
OF,97.9,98
PLAY,98,98.6
TEN,99.8,100
THOUSAND,100,100.4
FACES,100.5,100.9
DRIVING,101,101.4
YOU,101.5,101.6
INSANE,101.7,102.4
A,103.7,103.8
CARNIVAL,103.8,104.6
OF,104.7,104.9
HATE,104.9,105.2
CRAWLING,105.3,105.7
THROUGH,105.7,105.9
YOUR,105.9,106.1
MIND,106.2,106.7
A,106.7,106.7
GRIPPING,107.4,107.8
FEAR,107.9,108.4
THAT,108.4,108.6
LEAVES,108.6,108.8
YOU,108.9,109
PARALYZED,109.1,110.1
THUNDER,111.4,112.1
RIPPING,112.1,112.5
OUT,112.6,112.8
ACROSS,112.8,113.1
THE,113.4,113.5
SKY,113.6,114.2
DRAW,115.2,115.6
THE,115.6,115.8
LIGHTNING,115.8,116.2
OUT,116.3,116.6
OF,116.6,116.8
MY,116.8,117
MIND,117,117.6
BY,119.2,119.5
THE,119.5,119.6
PRICKLING,119.7,120.4
OF,120.5,120.6
MY,120.9,121.1
THUMBS,121.3,122.3
SOMETHING,123.1,123.6
WICKED,123.6,124.3
THIS,124.3,124.6
WAY,124.8,125.2
COMES,125.3,126.1
THUNDER,143.1,143.8
RIPPING,143.9,144.3
OUT,144.7,144.8
ACROSS,144.8,145.1
THE,145.1,145.9
SKY,147,147.2
DRAW,148,150.9
THE,155,155.2
LIGHTNING,155.3,156
OUT,156.1,156.2
OF,156.7,156.7
MY,156.8,156.9
MIND,158.3,158.8
BY,158.8,159.1
THE,159.1,159.3
PRICKLING,159.3,159.7
OF,159.7,159.8
MY,159.9,159.9
THUMBS,160,160.4
SOMETHING,160.4,166.4
WICKED,172.7,173
THIS,173,173.3
WAY,173.3,173.4
COMES,173.5,173.7
SOMETHING,173.8,174.1
WICKED,174.2,174.4
THIS,174.5,174.7
WAY,174.7,174.9
COMES,174.9,175.5
SOMETHING,176.6,177.1
WICKED,177.2,177.7
THIS,177.7,178.1
WAY,178.1,178.3
COMES,178.4,179
SOMETHING,179,180.9
WICKED,181,181.7
THIS,181.8,182
WAY,182.2,182.6
COMES,182.7,183.4
SOMETHING,184.4,184.9
WICKED,184.9,185.7
THIS,185.7,186
WAY,186.1,186.5
COMES,186.6,187.4
