label,start,end
NOW,33.7,34
MAYBE,34,34.7
I,37.2,37.3
DIDN'T,37.3,37.8
MEAN,37.9,38.3
TO,38.4,38.5
TREAT,38.6,38.9
YOU,38.9,39.1
BAD,39.2,41.4
BUT,41.7,41.9
I,42,42.1
DID,42.2,42.6
IT,42.8,42.9
ANYWAY,43,43.6
AND,44.3,44.4
THEN,44.4,44.7
MAYBE,44.8,45.2
SOME,47.9,48
WOULD,48,48.5
SAY,48.6,49.1
YOUR,49.2,49.3
LIFE,49.3,49.5
WAS,49.6,49.9
SAD,49.9,52
BUT,52.4,52.6
YOU,52.6,52.8
LIVED,52.8,53.1
IT,53.2,53.3
ANYWAY,53.4,54.3
AND,55,55.1
SO,55.1,55.4
MAYBE,55.5,56.2
YOUR,57.9,58.1
FRIENDS,58.1,58.5
THEY,58.5,58.6
STAND,58.6,59.2
AROUND,59.3,59.8
THEY,59.8,60
WATCH,60,60.3
YOU,60.3,60.6
CRUMBLE,60.6,61.5
AS,63.2,63.3
YOU,63.3,63.5
FALL,63.5,64
DOWN,64,64.3
TO,64.3,64.3
THE,64.4,64.5
GROUND,64.5,65.3
AND,65.7,65.8
THEN,65.8,66.1
SOMEDAY,66.2,67
YOUR,68.7,68.9
FRIENDS,68.9,69.2
THEY,69.2,69.3
STAND,69.4,69.8
BESIDE,69.9,70.5
AS,70.6,70.7
YOU,70.7,70.9
WERE,71,71.3
FLYIN',71.3,72.1
OH,73.2,73.6
YOU,73.6,73.8
WERE,73.8,74.1
FLYIN',74.2,74.7
OH,74.8,74.9
SO,75,75.2
HIGH,75.2,75.8
BUT,76.3,76.5
THEN,76.5,76.8
SOMEDAY,76.9,77.5
PEOPLE,77.6,78.1
LOOK,78.1,78.4
AT,78.6,78.7
YOU,78.8,79
FOR,79.4,79.5
WHAT,79.6,79.9
THEY,80,80.1
CALL,80.1,80.5
THEIR,80.6,80.8
OWN,81,81.2
THEY,81.3,81.4
WATCH,81.5,81.8
YOU,81.9,82
SUFFER,82.1,82.8
YEAH,84.6,84.8
THEY,84.9,84.9
HEAR,85,85.3
YOU,85.3,85.5
CALLING,85.5,86
HOME,86,86.4
AND,87.2,87.3
THEN,87.4,87.6
SOMEDAY,87.7,88.2
WE,88.4,88.6
CAN,88.7,88.8
TAKE,88.8,89.1
OUR,89.3,89.5
TIME,89.5,89.9
TO,89.9,89.9
BRUSH,90.3,90.7
THE,90.7,90.9
LEAVES,90.9,91.3
ASIDE,91.4,92
SO,92,92.3
YOU,92.3,92.5
CAN,92.5,92.8
REACH,92.8,93.2
US,93.2,93.7
HEY,94.5,94.9
BUT,95,95.3
YOU,95.3,95.6
LEFT,95.7,96
ME,96,96.3
FAR,96.3,96.7
BEHIND,96.7,97.4
NOW,98,98.3
MAYBE,98.4,100.8
I,100.9,101
DIDN'T,101.7,102.2
MEAN,102.3,102.7
TO,102.8,102.9
TREAT,102.9,103.2
YOU,103.3,103.5
OH,103.7,103.9
SO,103.9,104.2
BAD,104.2,104.7
BUT,105.8,105.9
I,106,106.4
DID,106.4,106.5
IT,106.6,106.8
ANYWAY,106.9,107.8
NOW,107.9,108.3
I'M,108.3,108.3
SAYING,108.3,109
MAYBE,109.1,111.7
SOME,112.4,112.8
WOULD,112.8,112.9
SAY,112.9,113.4
YOU'RE,113.4,113.5
LEFT,113.6,113.9
WITH,114,114.3
WHAT,114.3,114.7
YOU,114.7,114.9
HAD,115.5,115.5
BUT,116.4,116.6
YOU,116.7,117
COULDN'T,117.1,117.6
SHARE,117.6,117.9
THE,118,118.1
PAIN,118.1,119.1
NO,119.2,119.6
NO,119.7,120
NO,120.1,120.1
COULDN'T,122.5,122.9
SHARE,123,123.3
THE,123.3,123.4
PAIN,123.5,123.9
THEY,124.2,124.3
WATCH,124.3,124.7
YOU,124.7,124.9
SUFFER,125,125.7
NOW,130.1,130.5
MAYBE,130.5,131.2
I,133.8,133.8
COULD,133.9,134.1
HAVE,134.2,134.4
MADE,134.4,134.9
MY,134.9,135.2
OWN,135.3,135.4
MISTAKES,135.5,136.6
BUT,138.3,138.5
I,138.5,138.5
LIVED,138.6,138.9
WITH,139,139
WHAT,139.1,139.2
I'VE,139.3,139.5
KNOWN,139.6,140
AND,140.8,140.9
THEN,141,141.2
MAYBE,141.3,142
WE,144,144.1
MIGHT,144.2,144.4
SHARE,144.5,144.8
IN,144.9,145.1
SOMETHING,145.1,145.8
GREAT,145.8,146.1
WON'T,146.2,146.4
YOU,146.5,146.7
LOOK,146.7,146.8
AT,146.9,147
WHERE,147.1,147.4
WE'VE,147.4,147.5
GROWN,147.6,148.1
WON'T,148.9,149.1
YOU,149.2,149.3
LOOK,149.3,149.5
AT,149.6,149.7
WHERE,149.8,150
WE'VE,150.1,150.2
GONE,150.3,150.7
AND,151.6,151.6
THEN,151.7,151.9
SOMEDAY,152,152.6
COMES,152.7,153
TOMORROW,153.1,153.8
HOLDS,153.9,154.3
A,154.3,154.3
SENSE,154.7,155
OF,155.1,155.2
WHAT,155.2,155.6
I,155.7,155.8
FEEL,155.9,156.3
FOR,156.4,156.6
YOU,156.6,157
IN,157.1,157.2
MY,157.2,157.5
MIND,157.5,157.9
AS,159.7,159.8
YOU,159.8,159.9
TRIP,160,160.4
THE,160.4,160.5
FINAL,160.6,161
LINE,161.1,161.5
AND,162.3,162.3
THAT,162.4,162.6
COLD,162.7,163
DAY,163.1,163.4
WHEN,163.4,163.7
YOU,163.7,163.9
LOST,163.9,164.2
CONTROL,164.2,165
SHAME,165.4,165.8
YOU,165.8,165.9
LEFT,165.9,166.2
MY,166.3,166.5
LIFE,166.6,167.1
SO,167.1,167.2
SOON,167.3,167.6
YOU,167.6,167.7
SHOULD,167.8,168
HAVE,168,168.1
TOLD,168.1,168.4
ME,168.5,169
HEY,169,169.3
HEY,169.7,170.1
BUT,170.2,170.4
YOU,170.4,170.7
LEFT,170.8,171.1
ME,171.1,171.4
FAR,171.4,171.8
BEHIND,171.8,172.7
NOW,173.1,173.4
MAYBE,173.4,175.9
I,176.5,176.8
DIDN'T,176.8,177.2
MEAN,177.3,177.8
TO,177.8,177.9
TREAT,178,178.3
YOU,178.3,178.6
OH,178.7,178.9
SO,179,179.3
BAD,179.3,179.6
BUT,179.6,180
I,180,180
DID,180.7,181.7
IT,181.8,182.2
ANYWAY,182.3,183
NOW,183.8,184.1
MAYBE,184.2,186.6
SOME,187.6,187.8
WOULD,187.8,187.9
SAY,188,188
YOU'RE,188,188.6
LEFT,188.7,189
WITH,189,189.3
WHAT,189.4,189.7
YOU,189.7,190.5
HAD,190.5,190.6
BUT,191.6,191.9
YOU,191.9,192.2
COULDN'T,192.2,192.7
SHARE,192.7,193
THE,193.1,193.2
PAIN,193.2,193.6
NO,194.2,194.5
NO,194.7,194.9
NO,195,195.6
OH,236,236.1
NO,236.2,237.6
NO,237.7,238.2
OH,238.2,238.3
NO,242,242.4
NO,242.6,242.8
NO,242.9,243
NO,243.1,243.3
NO,243.4,243.8
OH,243.8,243.9
MY,243.9,247.2
LORD,247.3,247.8
SEE,247.8,248.2
I,248.7,249
KNOW,249.1,249.4
SEE,250.9,251.8
I,253.7,254
KNOW,254,254.6
BUT,256.2,256.6
MAYBE,256.6,258.3
SAID,258.9,259.3
MAYBE,259.3,261.8
I,261.8,261.9
DIDN'T,262.6,263.1
MEAN,263.1,263.6
TO,263.7,263.8
TREAT,263.8,264.1
YOU,264.3,264.4
OH,264.5,264.8
SO,264.8,265.1
BAD,265.1,265.4
BUT,266.7,266.8
I,266.8,265.7
DID,267.3,267.6
IT,267.6,267.8
ANYWAY,267.8,268.7
SAYIN',269.3,271
NOW,271,271.4
MAYBE,271.6,272.7
SOME,273.3,273.7
WOULD,273.7,273.8
SAY,273.8,274.2
YOU'RE,274.3,274.5
LEFT,274.5,274.8
WITH,274.9,275.1
WHAT,275.2,275.5
YOU,275.6,275.8
HAD,275.8,276.4
BUT,277.4,277.7
YOU,277.8,278
COULDN'T,278,278.5
SHARE,278.5,278.9
THE,278.9,279
PAIN,279.1,279.5
NOW,279.6,279.8
I'VE,279.8,280
SAID,280,280.4
BUT,280.4,280.7
TIMES,280.7,281.1
HAVE,281.1,281.2
CHANGED,281.3,281.6
YOUR,281.7,281.7
FRIENDS,281.8,282.1
THEY,282.1,282.2
COME,282.3,282.6
AND,282.7,282.7
WATCH,282.8,283.2
YOU,283.2,283.4
CRUMBLE,283.4,284.1
TO,284.2,284.2
THE,284.3,284.4
GROUND,284.4,284.8
THEY,284.8,285.2
WATCH,285.3,285.5
YOU,285.6,285.9
SUFFER,285.9,286.8
YEAH,288.1,288.3
THEY,288.3,288.8
HOLD,288.9,289.1
YOU,289.1,289.3
DOWN,289.3,289.7
HOLD,289.9,290.5
ON,290.7,290.8
DOWN,290.8,291.1
NOW,291.2,291.4
I,291.6,291.8
SAID,291.9,292.4
MAYBE,292.5,293.5
MAYBE,294.1,294.9
I,295,295.1
DIDN'T,295.8,296.1
MEAN,296.2,296.4
TO,296.5,296.6
TREAT,296.6,296.9
YOU,297,297.3
BAD,297.3,297.9
BUT,298.8,299
YOU,299,299.3
LEFT,299.4,299.9
ME,300,300.4
FAR,300.5,300.9
BEHIND,301,301.9
LEFT,302.2,302.6
ME,302.7,303.1
FAR,303.2,303.6
BEHIND,303.7,304.5
LEFT,304.8,305.2
ME,305.3,305.7
FAR,305.8,307.2
BEHIND,307.2,311
