label,start,end,diff
LETTING,9.4,10.8,1.4
A,10.9,10.9,0
NEW,11.1,12.6,1.5
DAY,12.6,13.2,0.6
BEGIN,13.2,14.4,1.2
LETTING,18,19.9,1.9
A,20,20.2,0.199999999999999
NEW,20.2,21.5,1.3
DAY,21.8,22,0.199999999999999
BEGIN,22.1,23.4,1.3
HOLD,27.2,28.6,1.4
TO,28.6,28.9,0.299999999999997
THE,29,29.2,0.199999999999999
TIME,29.2,30.9,1.7
THAT,31,31.4,0.399999999999999
YOU,31.6,31.9,0.299999999999997
KNOW,32,32.2,0.200000000000003
LOCKED,35.7,35.9,0.199999999999996
IN,36,36.1,0.100000000000001
MY,36.1,36.3,0.199999999999996
ROOM,36.4,36.6,0.200000000000003
FOUR,36.9,37.1,0.200000000000003
BLACK,37.2,37.4,0.199999999999996
WALLS,37.5,37.9,0.399999999999999
TIE,38,38.2,0.200000000000003
THE,38.3,38.5,0.200000000000003
NOOSE,38.6,38.9,0.299999999999997
NO,39.1,39.4,0.299999999999997
RECALL,39.5,39.9,0.399999999999999
NO,40.2,40.5,0.299999999999997
RESOLVE,40.6,41.3,0.699999999999996
FUCK,41.3,41.6,0.300000000000004
WITHDRAWAL,41.6,42.2,0.600000000000001
RATHER,42.5,43,0.5
SHOOT,43,43.4,0.399999999999999
UP,43.5,43.6,0.100000000000001
TILL,43.6,43.9,0.299999999999997
I,44,44.1,0.100000000000001
FALL,44.2,44.7,0.5
MURDER,44.8,45.1,0.300000000000004
ON,45.2,45.3,0.0999999999999943
CALL,45.3,45.6,0.300000000000004
WITH,45.6,45.8,0.199999999999996
THE,45.8,45.9,0.100000000000001
FIVE,45.9,46.2,0.300000000000004
NINE,46.2,46.3,0.0999999999999943
TWENTY,46.6,47,0.399999999999999
YEARS,47.1,47.3,0.199999999999996
AND,47.4,47.5,0.100000000000001
IT,47.5,47.6,0.100000000000001
SEEM,47.6,47.9,0.299999999999997
LIKE,47.9,48.1,0.200000000000003
A,48.1,48.1,0
LIFETIME,48.2,48.7,0.5
I,49,49.2,0.200000000000003
BEEN,49.2,49.3,0.0999999999999943
HANGING,49.3,49.6,0.300000000000004
EVERY,49.6,49.8,0.199999999999996
DAY,49.9,50.1,0.200000000000003
FROM,50.1,50.3,0.199999999999996
A,50.3,50.3,0
LIFELINE,50.4,51,0.600000000000001
WHILE,51.2,51.4,0.199999999999996
THESE,51.4,51.5,0.100000000000001
FUCKERS,51.5,51.8,0.299999999999997
HAD,51.8,52,0.200000000000003
A,52.1,52.1,0
DINNER,52.1,52.4,0.299999999999997
EVERY,52.4,52.7,0.300000000000004
NIGHT,52.7,52.9,0.199999999999996
TIME,53,53.2,0.200000000000003
SMO-,53.4,53.7,0.300000000000004
SMOKIN',53.8,54.2,0.400000000000006
THAT,54.2,54.4,0.199999999999996
DOPE,54.4,54.6,0.200000000000003
OFF,54.7,54.8,0.0999999999999943
THE,54.8,54.9,0.100000000000001
FOIL,55,55.2,0.200000000000003
LET,55.2,55.4,0.199999999999996
ME,55.4,55.5,0.100000000000001
BALL,55.6,55.8,0.199999999999996
HO,56.1,56.3,0.199999999999996
PLEASE,56.3,56.5,0.200000000000003
DON'T,56.5,56.7,0.200000000000003
CALL,56.7,56.9,0.199999999999996
DON'T,57.2,57.4,0.199999999999996
FUCK,57.4,57.6,0.200000000000003
WITH,57.7,57.8,0.0999999999999943
Y'ALL,57.8,58.2,0.400000000000006
SPRAY,58.3,58.6,0.300000000000004
PAINT,58.6,58.8,0.199999999999996
THE,58.8,59,0.200000000000003
WALLS,59,59.3,0.299999999999997
WITH,59.4,59.5,0.100000000000001
BLOOD,59.5,59.7,0.200000000000003
AND,59.8,59.9,0.100000000000001
WHATEVER,59.9,60.3,0.399999999999999
DRAG,60.6,60.9,0.299999999999997
YOU,60.9,61,0.100000000000001
OUTSIDE,61.1,61.4,0.299999999999997
LET,61.4,61.6,0.200000000000003
YOU,61.6,61.8,0.199999999999996
ROT,61.8,62,0.200000000000003
IN,62.1,62.1,0
THE,62.2,62.3,0.0999999999999943
WEATHER,62.4,62.6,0.200000000000003
I,63.5,63.6,0.100000000000001
DON'T,63.6,63.8,0.199999999999996
THINK,63.8,64,0.200000000000003
I,64.1,64.2,0.100000000000009
CAN,64.2,64.4,0.200000000000003
EXPLAIN,64.5,64.8,0.299999999999997
ANY,64.9,65.1,0.199999999999989
BETTER,65.1,65.4,0.300000000000011
I'M,66.7,66.8,0.0999999999999943
CARECROW,66.8,67.3,0.5
THE,67.3,67.4,0.100000000000009
TERROR,67.5,67.8,0.299999999999997
AND,67.9,68,0.0999999999999943
LIVE,68,68.2,0.200000000000003
FOR,68.2,68.4,0.200000000000003
THE,68.4,68.5,0.0999999999999943
LESSER,68.6,69,0.400000000000006
MY,70.6,70.8,0.200000000000003
BIRTH,70.8,71,0.200000000000003
WAS,71.1,71.3,0.200000000000003
AN,71.3,71.4,0.100000000000009
ERROR,71.4,71.6,0.199999999999989
I,72.7,72.8,0.0999999999999943
AM,72.8,72.9,0.100000000000009
THE,73,73.1,0.0999999999999943
LORD,73.1,73.4,0.300000000000011
OF,73.5,73.6,0.0999999999999943
LONELINESS,73.7,74.4,0.700000000000003
I'LL,74.6,74.7,0.100000000000009
HOLD,74.8,75,0.200000000000003
MY,75.1,75.3,0.200000000000003
BREATH,75.3,75.6,0.299999999999997
JUST,75.6,75.8,0.200000000000003
SPOKE,75.8,76,0.200000000000003
WITH,76.2,76.4,0.200000000000003
DEATH,76.5,76.7,0.200000000000003
HE,77,77.1,0.0999999999999943
SAID,77.1,77.3,0.200000000000003
HE,77.3,77.6,0.299999999999997
HOPES,77.6,77.8,0.200000000000003
FOR,77.9,78,0.0999999999999943
THE,78,78.1,0.0999999999999943
BEST,78.2,78.4,0.200000000000003
TOLD,79.3,79.5,0.200000000000003
HIM,79.5,79.7,0.200000000000003
I'M,79.8,79.9,0.100000000000009
ROPIN',79.9,80.2,0.299999999999997
MY,80.2,80.4,0.200000000000003
NECK,80.4,80.6,0.199999999999989
THEN,80.6,80.8,0.200000000000003
I,80.9,80.9,0
WOKE,81,81.1,0.0999999999999943
UP,81.2,81.3,0.0999999999999943
CHOKIN',81.3,81.7,0.400000000000006
FROM,81.7,81.9,0.200000000000003
THE,81.9,82,0.0999999999999943
HOLE,82.1,82.2,0.100000000000009
IN,82.3,82.4,0.100000000000009
MY,82.4,82.6,0.199999999999989
CHEST,82.6,82.9,0.300000000000011
SOMEHOW,83.7,84,0.299999999999997
I,84.1,84.2,0.100000000000009
MANAGE,84.4,84.7,0.299999999999997
TO,84.8,84.9,0.100000000000009
FUNCTION,84.9,85.3,0.399999999999991
AND,85.4,85.5,0.0999999999999943
HOPE,85.5,85.7,0.200000000000003
EVERY,85.8,86,0.200000000000003
DAY,86.1,86.2,0.100000000000009
GOT,86.3,86.5,0.200000000000003
A,86.5,86.6,0.0999999999999943
LUMP,86.6,86.8,0.200000000000003
IN,86.9,87,0.0999999999999943
MY,87,87.2,0.200000000000003
THROAT,87.2,87.4,0.200000000000003
THAT'S,87.4,87.5,0.0999999999999943
THEM,87.6,87.7,0.100000000000009
PILLS,87.8,87.9,0.100000000000009
SWALLOWED,87.9,88.3,0.399999999999991
WHOLE,88.3,88.5,0.200000000000003
SMOKE,88.5,88.7,0.200000000000003
A,88.8,88.8,0
BLUNT,88.9,89,0.0999999999999943
AND,89.1,89.2,0.100000000000009
THEN,89.3,89.4,0.100000000000009
FUCK,89.5,89.6,0.0999999999999943
ALL,89.7,89.8,0.0999999999999943
