label,start,end
EVERY,10,10.3
TIME,10.4,10.7
OUR,10.7,10.9
EYES,11.3,11.7
MEET,11.7,12.1
THIS,13.1,13.3
FEELING,13.4,13.9
INSIDE,14,15.1
ME,15.2,15.6
IS,16.7,16.9
ALMOST,17,17.5
MORE,17.6,18.1
THAN,18.2,18.4
I,18.7,18.9
CAN,19,19.2
TAKE,19.2,19.9
BABY,23.6,24.1
WHEN,24.2,24.3
YOU,24.3,24.5
TOUCH,24.6,25.4
ME,25.5,25.9
I,26.6,26.8
CAN,26.9,27
FEEL,27.1,27.3
HOW,27.4,27.5
MUCH,27.5,27.7
YOU,27.8,27.9
LOVE,28,28.8
ME,28.9,29.3
AND,30.4,30.5
IT,30.6,30.7
JUST,30.8,31.1
BLOWS,31.2,31.8
ME,31.9,32.3
AWAY,32.3,33.7
I'VE,37,37.3
NEVER,37.4,37.8
BEEN,37.9,38.5
THIS,38.7,39
CLOSE,39.1,39.7
TO,39.8,39.9
ANYONE,40.2,41
OR,41.5,41.7
ANYTHING,41.9,42.5
I,43.9,44
CAN,44,44.2
HEAR,44.3,44.7
YOUR,44.8,44.8
THOUGHTS,44.9,45.6
I,47.3,47.4
CAN,47.5,47.6
SEE,47.7,48.1
YOUR,48.2,48.3
DREAMS,48.4,49.4
I,50.9,51.1
DON'T,51.1,51.3
KNOW,51.4,51.5
HOW,51.6,51.7
YOU,51.8,51.9
DO,52,52.3
WHAT,52.4,52.7
YOU,52.9,53.3
DO,53.3,53.7
I'M,55.2,55.3
SO,55.4,55.8
IN,55.9,56
LOVE,56.1,56.5
WITH,56.5,57.4
YOU,57.4,57.4
IT,58.7,58.8
JUST,58.8,59.2
KEEPS,59.3,59.6
GETTING,59.7,60.1
BETTER,60.2,61.6
I,64.7,64.8
WANT,64.8,65
TO,65.1,65.2
SPEND,65.2,65.5
THE,65.5,65.7
REST,65.7,66.2
OF,66.3,66.4
MY,66.6,66.9
LIFE,67,67.6
WITH,68.9,69.1
YOU,69.2,69.5
BY,69.6,70
MY,70,70.4
SIDE,70.4,71.7
FOREVER,72.3,73.4
AND,73.6,73.8
EVER,74.6,75.5
EVERY,78.6,78.9
LITTLE,79,79.3
THING,79.4,79.8
THAT,79.9,80.2
YOU,80.3,81.2
DO,81.2,81.2
BABY,82,82.4
I'M,82.5,82.7
AMAZED,82.8,83.6
BY,83.7,84.1
YOU,84.2,84.8
THE,92.2,92.3
SMELL,92.4,92.8
OF,93,93.1
YOUR,93.2,93.8
SKIN,93.9,94.8
THE,95.6,95.7
TASTE,95.8,96.3
OF,96.4,96.5
YOUR,96.6,97.3
KISS,97.4,98.3
THE,99,99.1
WAY,99.2,99.4
YOU,99.5,99.8
WHISPER,99.8,100.8
IN,101.2,101.3
THE,101.3,101.4
DARK,101.5,102.2
YOUR,105.8,106
HAIR,106,106.5
ALL,106.6,106.7
AROUND,106.8,107.7
ME,107.7,108.1
BABY,109.4,109.8
YOU,109.9,110
SURROUND,110,111.1
ME,111.2,111.5
YOU,112.3,112.4
TOUCH,112.5,112.9
EVERY,113,113.4
PLACE,113.5,114.1
IN,114.3,114.5
MY,114.6,114.9
HEART,115.1,115.9
OH,119.6,119.8
IT,119.9,120
FEELS,120.2,121.3
LIKE,121.5,122
THE,122.1,122.2
FIRST,122.3,122.6
TIME,122.7,123.2
EVERY,124.1,124.4
TIME,124.4,125.1
I,126,126.2
WANT,126.2,126.4
TO,126.4,126.5
SPEND,126.5,127
THE,127.1,127.2
WHOLE,127.3,127.8
NIGHT,127.9,128.6
IN,129.6,129.9
YOUR,130,130.5
EYES,131.1,131.9
I,133.2,133.4
DON'T,133.4,133.6
KNOW,133.7,133.9
HOW,133.9,134.1
YOU,134.1,134.2
DO,134.3,134.7
WHAT,134.8,135
YOU,135.2,135.5
DO,135.6,136.2
I'M,137.4,137.6
SO,137.7,138.1
IN,138.2,138.3
LOVE,138.4,138.8
WITH,138.8,139.1
YOU,139.2,139.9
IT,141,141.1
